id;descripcion;precio_normal;precio_descuento;imagen_url;tallas;categoria
1;Conjunto camisa manga sisa + falda con boleros para niña;179990.00;NULL;Imagen no disponible;10, 12, 14, 8;Outlet
2;Buzo para bebé niño cerrado;45594.00;75990.00;https://offcorss.vtexassets.com/arquivos/ids/861360/31134401-Verde-12-0525_1.jpg?v=638584681006430000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
3;Jardinera para bebé niña;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/861384/32081271-Morado-15-3520_1.jpg?v=638584681252430000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
4;Sudadera para niño;63594.00;105990.00;https://offcorss.vtexassets.com/arquivos/ids/861461/51269711-Azul-19-4024_1.jpg?v=638584681880200000;10, 12, 14, 16, 8;Outlet
5;Buzo para bebé niño abierto con capucha;47994.00;79990.00;https://offcorss.vtexassets.com/arquivos/ids/861336/31134391-Cafe-12-0601_1.jpg?v=638584680530330000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
6;Sudadera para niña;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/861441/42263761-Violeta-13-3820_1.jpg?v=638584681760670000;2T, 3T, 4T, 5T, 6;Outlet
7;Camiseta croptop para niña manga corta;29994.00;49990.00;https://offcorss.vtexassets.com/arquivos/ids/861481/52344632-Blanco-10-0000_1.jpg?v=638584681994700000;10, 12, 14, 16, 8;Outlet
8;Short para niña;41994.00;69990.00;https://offcorss.vtexassets.com/arquivos/ids/861426/42053991-Cafe-12-0601_1.jpg?v=638584681657070000;2T, 3T, 4T, 5T, 6;Outlet
9;Conjunto para bebé niño de camiseta + sudadera;51594.00;85990.00;Imagen no disponible;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
10;Body para bebé niña manga corta;23994.00;39990.00;https://offcorss.vtexassets.com/arquivos/ids/863678/Body-para-recien-nacida-niña-manga-corta.jpg?v=638600395374600000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
11;Vestido de baño tankini para niña;87594.00;145990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
12;Pantalón para niña;65994.00;109990.00;https://offcorss.vtexassets.com/arquivos/ids/858635/42264051-Amarillo-11-0602_1.jpg?v=638557105772330000;2T, 3T, 4T, 5T, 6;Outlet
13;Body manga corta para bebé niño;11940.00;19900.00;https://offcorss.vtexassets.com/arquivos/ids/858614/31114771-Azul-18-3946_1.jpg?v=638557038180800000;12M, 18M, 3-6M, 6-9M;Outlet
14;Camiseta para niña manga sisa con recogidos en hombros;29994.00;49990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
15;Chaqueta para niña en denim silueta trucker;93594.00;155990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
16;Pantalón para niño con bolsillos asimétricos;69594.00;115990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
17;Camiseta para niño manga corta con bolsillo;39594.00;65990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
18;Chaqueta para niña rompevientos;83994.00;139990.00;Imagen no disponible;L, M, S, XS;Outlet
19;Sudadera para niña silueta wide leg;71994.00;119990.00;Imagen no disponible;L, M, S, XS;Outlet
20;Buzo para niño cerrado con bolsillo;57594.00;95990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
21;Sudadera para niña con bolsillos;53994.00;89990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
22;Overall largo para niña con bolsillos;71994.00;119990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
23;Conjunto para niña de camiseta manga corta + pantalón;95994.00;159990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
24;Chaleco para niña con bolsillos de parche;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/857806/42280001-Amarillo-11-0604_1.jpg?v=638545062071670000;L, M, S;Outlet
25;Camisa manga corta para niño;53994.00;89990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
26;Conjunto para niña de camisa manga sisa + pantalón;87594.00;145990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
27;Pantalón para niña silueta slouchy;59994.00;99990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
28;Conjunto para niña de camiseta manga corta + short deportivo;81594.00;135990.00;Imagen no disponible;L, M, S, XS;Outlet
29;Chaleco para niña con bolsillos de parche;53994.00;89990.00;Imagen no disponible;XS, XXS;Outlet
30;Vestido para niña manga corta con frente cruzado;63594.00;105990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
31;Conjunto para niña de top + panty tipo boxer;34794.00;57990.00;https://offcorss.vtexassets.com/arquivos/ids/858037/52203321-Violeta-15-3412_1.jpg?v=638545063183300000;L, M, S;Outlet
32;Camisa para niña manga corta con botones;53994.00;89990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
33;Vestido para niña manga larga con cuello;75594.00;125990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
34;Buzo para niño oversize con estampado en espalda;63594.00;105990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
35;Conjunto para niña de camiseta manga corta + pantalón;95994.00;159990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
36;Sudadera para niña con bolsillos;53994.00;89990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
37;Tenis para niña deportivos;99594.00;165990.00;Imagen no disponible;30, 31, 32, 33, 34, 35, 36, 37, 38, 39;Outlet
38;Camiseta para niño tipo polo;47994.00;79990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
39;Camiseta para niño tipo polo con bolsillo;45594.00;75990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
40;Tenis para niño con bloques de color;93594.00;155990.00;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Outlet
41;Bermuda para niño con bolsillo asimétrico;69594.00;115990.00;Imagen no disponible;10, 12, 14, 16, 8;Outlet
42;Jean super skinny para niña;71994.00;119990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
43;Camiseta para niño manga corta con bolsillo;29994.00;49990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
44;Vestido de baño tankini para bebé niña;75594.00;125990.00;https://offcorss.vtexassets.com/arquivos/ids/848975/42022181-Naranja-16-1462_1.jpg?v=638497574288070000;12M, 18M, 24M, 6-9M;Outlet
45;Vestido de baño entero manga sisa para bebé niña;63594.00;105990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
46;Camiseta de baño manga larga para bebé niño;59994.00;99990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
47;Pantaloneta de baño para bebé niño;57594.00;95990.00;https://offcorss.vtexassets.com/arquivos/ids/830676/41058561-Azul-19-3921_1.jpg?v=638423226806670000;12M, 18M, 24M, 6-9M;Outlet
48;Pantaloneta de baño para bebé niño;57594.00;95990.00;https://offcorss.vtexassets.com/arquivos/ids/830639/41058551-Azul-18-3949_1.jpg?v=638423226576830000;12M, 18M, 24M, 6-9M;Outlet
49;Pantaloneta de baño para bebé niño;57594.00;95990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
50;Camiseta de baño manga larga para bebé niño;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/830794/41337021-Azul-18-3949_1.jpg?v=638423227681170000;12M, 18M, 24M, 6-9M;Outlet
51;Camiseta de baño manga larga para bebé niño;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/830713/41337001-Azul-19-3921_1.jpg?v=638423227057530000;12M, 18M, 24M, 6-9M;Outlet
52;Vestido de baño bikini doble faz para bebé niña;63594.00;105990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
53;Vestido de baño entero para bebé niña;75594.00;125990.00;https://offcorss.vtexassets.com/arquivos/ids/848993/42022191-Violeta-14-3812_1.jpg?v=638497574368770000;12M, 18M, 24M, 6-9M;Outlet
54;Vestido de baño entero manga sisa para bebé niña;59994.00;99990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
55;Vestido de baño entero manga sisa para bebé niña;63594.00;105990.00;Imagen no disponible;12M, 18M, 24M, 6-9M;Outlet
56;Bermuda para niño;39594.00;65990.00;https://offcorss.vtexassets.com/arquivos/ids/858493/41058241-Verde-19-5220_1.jpg?v=638551069286830000;2T, 3T, 4T, 5T, 6;Outlet
57;Pantalón de sudadera para niño;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/858528/41264491-Rojo-18-1660_1.jpg?v=638551771659800000;2T, 3T, 4T, 5T, 6;Outlet
58;Pantaloneta de baño para niño;47994.00;79990.00;https://offcorss.vtexassets.com/arquivos/ids/854314/41020041-Azul-19-4024_1.jpg?v=638532208637300000;2T, 3T, 4T, 5T, 6;Outlet
59;Body manga corta para bebé niño;22194.00;36990.00;https://offcorss.vtexassets.com/arquivos/ids/854228/33113521-Amarillo-12-0824_1.jpg?v=638527858391870000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
60;Camisa manga corta con boleros para niña;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/854240/42045711-Gris-11-0601_1.jpg?v=638527858442170000;2T, 3T, 4T, 5T, 6;Outlet
61;Falda midi con bolsillo de parche para niña;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/854280/52075801-Gris-13-4108_1.jpg?v=638527858622100000;10, 12, 14, 16, 8;Outlet
62;Camiseta de pijama para niño;27594.00;45990.00;https://offcorss.vtexassets.com/arquivos/ids/863485/41337043-Verde-12-6205_5.jpg?v=638600295704430000;2T, 3T, 4T, 5T, 6;Outlet
63;Pantalón largo de pijama para niña;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/858551/52270731-Rosado-14-2710_1.jpg?v=638551798689300000;10, 12, 14, 16, 8;Outlet
64;Denim silueta super skinny para niña;63594.00;105990.00;https://offcorss.vtexassets.com/arquivos/ids/854327/42361082-Indigo-Medio_1.jpg?v=638532288080870000;2T, 3T, 4T, 5T;Outlet
65;Pantalón con cargaderas para bebé niño;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/860509/31067541-Cafe-16-1336_1.jpg?v=638563009674430000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
66;Pantalón con prenses para niña;81594.00;135990.00;https://offcorss.vtexassets.com/arquivos/ids/854331/52270602-Violeta-13-3820_1.jpg?v=638532290334800000;10, 12, 14, 16, 8;Outlet
67;Pantalón silueta ancha para niña;77994.00;129990.00;https://offcorss.vtexassets.com/arquivos/ids/854300/52270562-Cafe-12-0601_1.jpg?v=638527858698630000;10, 12, 14, 16, 8;Outlet
68;Vestido tipo camisa manga larga para niña;69594.00;115990.00;https://offcorss.vtexassets.com/arquivos/ids/854270/52018271-Blanco-10-0000_1.jpg?v=638527858584330000;10, 12, 14, 16, 8;Outlet
69;Buzo cerrado de personaje para bebé niño;50940.00;84900.00;https://offcorss.vtexassets.com/arquivos/ids/860581/31134181-Beige-12-0804_1.jpg?v=638563010070100000;12M, 18M, 24M, 3-6M, 6-9M;Outlet
70;Denim silueta super skinny para niña;63594.00;105990.00;https://offcorss.vtexassets.com/arquivos/ids/854329/42361081-Indigo-Claro_1.jpg?v=638532289032100000;2T, 3T, 4T, 5T;Outlet
71;Pantaloneta de baño para niño;47994.00;79990.00;https://offcorss.vtexassets.com/arquivos/ids/854312/41020043-Verde-13-5313_1.jpg?v=638532207337330000;2T, 3T, 4T, 5T, 6;Outlet
72;Buzo estampado cerrado para bebé niña;29994.00;49990.00;https://offcorss.vtexassets.com/arquivos/ids/858473/32134421-Rosado-12-1305_1.jpg?v=638550982682970000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
73;Falda-short con boleros para niña;26396.00;65990.00;https://offcorss.vtexassets.com/arquivos/ids/854250/42074112-Amarillo-15-1046_1.jpg?v=638527858498530000;24, 2T, 3T, 4T, 5T;Outlet
74;Enterizo corto para niña;47995.00;95990.00;https://offcorss.vtexassets.com/arquivos/ids/854290/52210361-Amarillo-15-1046_1.jpg?v=638527858660800000;10, 12, 14, 16, 8;Outlet
75;Body manga larga con hombro cruzado para bebé niña;22194.00;36990.00;https://offcorss.vtexassets.com/arquivos/ids/863478/32117882-Rosado-14-1907_2.jpg?v=638600256474630000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
76;Camisa manga larga con bolero para niña;57594.00;95990.00;https://offcorss.vtexassets.com/arquivos/ids/854321/42045251-Amarillo-15-1046_1.jpg?v=638532214281630000;24, 2T, 3T, 4T, 5T;Outlet
77;Camiseta para niña manga corta;23994.00;39990.00;https://offcorss.vtexassets.com/arquivos/ids/854072/42241667-Gris-11-0601_1.jpg?v=638527857741370000;24, 2T, 3T, 4T, 5T;Outlet
78;Leggings para niña;27594.00;45990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6;Outlet
79;Overall para bebé niña;47994.00;79990.00;https://offcorss.vtexassets.com/arquivos/ids/849876/32081185-Gris-11-0601_1.jpg?v=638500903127600000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
80;Pantalón para niño;63594.00;105990.00;https://offcorss.vtexassets.com/arquivos/ids/784400/41264392-Cafe-17-1052_1.jpg?v=638160830255330000;2T, 3T, 4T, 5T, 6;Outlet
81;Falda short para niña;47994.00;79990.00;Imagen no disponible;2T, 3T, 4T, 5T, 6, 2T, 3T, 4T, 5T, 6;Outlet
82;Camiseta para niña con frente cruzado;33594.00;55990.00;https://offcorss.vtexassets.com/arquivos/ids/817268/52344071-Negro-19-4008_1.jpg?v=638336837851930000;10, 12, 14, 16, 8;Outlet
83;Jean slouchy para niña;69594.00;115990.00;https://offcorss.vtexassets.com/arquivos/ids/854172/42361152-Indigo-Claro_1.jpg?v=638527858165800000;2T, 3T, 4T, 5T, 6;Outlet
84;Camisa con boleros para niña;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/827127/42045582-Violeta-13-3820_1.jpg?v=638385314580330000;2T, 3T, 4T, 5T, 6, 2T, 3T, 4T, 5T, 6;Outlet
85;Camiseta para niño manga larga;35994.00;59990.00;https://offcorss.vtexassets.com/arquivos/ids/849602/41334801-Gris-Jaspe_1.jpg?v=638497577783300000;24, 2T, 3T, 4T, 5T;Outlet
86;Vestido de baño entero para niña;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/853969/42021732-Rosado-15-1626_1.jpg?v=638527857200300000;2T, 3T, 4T, 5T, 6;Outlet
87;Vestido para niña con abertura en hombro;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/850271/52018901-Cafe-12-0601_1.jpg?v=638500905577470000;10, 12, 14, 16, 8;Outlet
88;Vestido de baño entero para niña;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/853967/42021733-Blanco-10-0000_1.jpg?v=638527857188900000;2T, 3T, 4T, 5T, 6;Outlet
89;Pantaloneta de baño para niño;47994.00;79990.00;https://offcorss.vtexassets.com/arquivos/ids/853842/41020042-Azul-14-4214_1.jpg?v=638527856539470000;2T, 3T, 4T, 5T, 6;Outlet
90;Pijama para niña camiseta manga larga + pantalón;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/850341/52093992-Azul-16-4013_1.jpg?v=638500905921400000;10, 12, 14, 16, 8;Outlet
91;Pantalón sudadera para niña;51594.00;85990.00;https://offcorss.vtexassets.com/arquivos/ids/854152/42264072-Violeta-14-3206_1.jpg?v=638527858084630000;2T, 3T, 4T, 5T, 6;Outlet
92;Vestido de baño entero para niña;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/850321/52023282-Rosado-15-1626_1.jpg?v=638500905820700000;10, 12, 14, 16, 8;Outlet
93;Body tipo kimon para bebé niño unisex manga larga;25794.00;42990.00;https://offcorss.vtexassets.com/arquivos/ids/850158/33113232-Blanco-11-4202_1.jpg?v=638500904889830000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
94;Leggings para niña;30594.00;50990.00;https://offcorss.vtexassets.com/arquivos/ids/854132/42263541-Rosado-11-1408_1.jpg?v=638527858007800000;2T, 3T, 4T, 5T, 6;Outlet
95;Body para bebé niño manga corta;23994.00;39990.00;https://offcorss.vtexassets.com/arquivos/ids/850136/33113192-Gris-Jaspe_1.jpg?v=638500904784500000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
96;Jean super skinny para niña;65994.00;109990.00;https://offcorss.vtexassets.com/arquivos/ids/854182/42361271-Indigo-Claro_1.jpg?v=638527858208230000;2T, 3T, 4T, 5T, 6;Outlet
97;Body kimono manga larga para bebé niña;23994.00;39990.00;https://offcorss.vtexassets.com/arquivos/ids/849900/32118141-Rosado-11-1408_1.jpg?v=638500903239130000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
98;Vestido de baño entero para niña;53994.00;89990.00;https://offcorss.vtexassets.com/arquivos/ids/853971/42021731-Amarillo-12-0740_1.jpg?v=638527857209030000;2T, 3T, 4T, 5T, 6;Outlet
99;Vestido para niña con abertura en hombro;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/850281/52018911-Cafe-15-1216_1.jpg?v=638500905627330000;10, 12, 14, 16, 8;Outlet
100;Chaqueta beisbolera para niño;89994.00;149990.00;https://offcorss.vtexassets.com/arquivos/ids/850231/51532241-Negro-19-4008_1.jpg?v=638500905325530000;10, 12, 14, 16, 8;Outlet
101;Vestido midi para niña manga sisa;65994.00;109990.00;https://offcorss.vtexassets.com/arquivos/ids/850251/52018713-Rosado-15-1611_1.jpg?v=638500905441330000;10, 12, 14, 16, 8;Outlet
102;Camisa leñadora para niño manga larga;77394.00;128990.00;https://offcorss.vtexassets.com/arquivos/ids/850176/51049011-Gris-11-0601_1.jpg?v=638500904972700000;10, 12, 14, 16, 8;Outlet
103;Jean slouchy para niña;69594.00;115990.00;https://offcorss.vtexassets.com/arquivos/ids/806959/42361152-Indigo-Medio_1.jpg?v=638284889036400000;2T, 3T, 4T, 5T, 6;Outlet
104;Vestido para niña con cargaderas para anudar;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/850241/52018592-Naranja-15-1239_1.jpg?v=638500905385670000;10, 12, 14, 16, 8;Outlet
105;Conjunto para bebé niña de body + vestido;71994.00;119990.00;https://offcorss.vtexassets.com/arquivos/ids/850038/32125231-Rosado-12-1305_1.jpg?v=638500904306730000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
106;Camisa leñadora para niño manga larga;59994.00;99990.00;https://offcorss.vtexassets.com/arquivos/ids/853852/41047721-Gris-11-0601_1.jpg?v=638527856600870000;2T, 3T, 4T, 5T, 6;Outlet
107;Pantalón sudadera para niña;51594.00;85990.00;https://offcorss.vtexassets.com/arquivos/ids/854154/42264071-Coral-14-1228_1.jpg?v=638527858092500000;2T, 3T, 4T, 5T, 6;Outlet
108;Camiseta oversize para niña;29994.00;49990.00;https://offcorss.vtexassets.com/arquivos/ids/807256/52344862-Rosado-15-1611_1.jpg?v=638284890301770000;10, 12, 14, 16, 8;Outlet
109;Set x 2 bodies para bebé niño;41994.00;69990.00;https://offcorss.vtexassets.com/arquivos/ids/849828/31201582-Blanco-10-0000_1.jpg?v=638500902869500000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
110;Conjunto para bebé niña de body + leggings;41994.00;69990.00;https://offcorss.vtexassets.com/arquivos/ids/850014/32125162-Rosado-13-2005_1.jpg?v=638500904174300000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
111;Camiseta para niña con frente cruzado;33594.00;55990.00;https://offcorss.vtexassets.com/arquivos/ids/850413/52344071-Rosado-16-1440_1.jpg?v=638500906323800000;10, 12, 14, 16, 8;Outlet
112;Body manga corta para bebé niña;23994.00;39990.00;https://offcorss.vtexassets.com/arquivos/ids/849920/32118152-Gris-14-4103_1.jpg?v=638500903371030000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
113;Camisa con boleros para niña;45594.00;75990.00;https://offcorss.vtexassets.com/arquivos/ids/853997/42045502-Rosado-11-1408_1.jpg?v=638527857331030000;2T, 3T, 4T, 5T, 6;Outlet
114;Camiseta para niña manga corta;23994.00;39990.00;https://offcorss.vtexassets.com/arquivos/ids/787897/42241667-Violeta-14-3812_1.jpg?v=638131914502570000;2T, 3T, 4T, 5T;Outlet
115;Camiseta para niña manga corta;35994.00;59990.00;https://offcorss.vtexassets.com/arquivos/ids/854082/42241911-Azul-19-3923_1.jpg?v=638527857779800000;2T, 3T, 4T, 5T, 6;Outlet
116;Camiseta para niña manga corta;31794.00;52990.00;https://offcorss.vtexassets.com/arquivos/ids/854092/42243032-Rosado-11-1408_1.jpg?v=638527857827170000;2T, 3T, 4T, 5T, 6;Outlet
117;Jean super skinny para niña;71994.00;119990.00;https://offcorss.vtexassets.com/arquivos/ids/850447/52361292-Indigo-Medio_1.jpg?v=638500906516170000;10, 12, 14, 16, 6, 8;Outlet
118;Set x 2 bodies para bebé niño;41994.00;69990.00;https://offcorss.vtexassets.com/arquivos/ids/849832/31201581-Gris-11-0601_1.jpg?v=638500902890670000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
119;Conjunto para bebé niña de body + vestido;71994.00;119990.00;https://offcorss.vtexassets.com/arquivos/ids/850062/32125251-Cafe-12-0601_1.jpg?v=638500904414500000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
120;Conjunto body + bermuda para recién nacido niño;57594.00;95990.00;https://offcorss.vtexassets.com/arquivos/ids/849738/31125341-Amarillo-13-0942_1.jpg?v=638500902400030000;0-3M, 12M, 18M, 24M, 3-6M, 6-9M;Outlet
121;Vestido para niña manga larga;119990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
122;Conjunto para niña de camiseta + leggins + pañoleta;110990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
123;Camiseta para niña con detalle en el frente;45990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
124;Sandalias para niña con correas;135990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
125;Camiseta para niña manga corta con boleros;55990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
126;Tenis casuales para niña con  correas de velcro;139990.00;NULL;Imagen no disponible;22, 23, 24, 25, 26, 27, 28, 29;Bebés
127;Overol para niña;129990.00;NULL;Imagen no disponible;2T, 3T, 4T, 5T, 6;Bebés
